ENAME,risk_label,risk_score,danger,avg_rainfall,total_buildings,mean_height,plot_r,Median_Time,Type_Industrial,Type_Office/Commercial,Type_Residential/Composite,Type_Others,Waterfront,Mean_Elev,Elev_Var,Elev_Min,Elev_Max,t_pop,adhz,ma_hh,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dm_r
O Tong,High Risk,0.7525242159772804,42.2,7.12,22,14.14090909090909,0.6338665089973035,2003.0,0.0,0.0,15.0,0.0,0,11.220183486238527,24,3,29,18046,2.9,47750,0,5855,12191,0,0,16800.0
Fu Kwan,High Risk,0.7469835890830535,41.9,7.12,53,11.44150943396227,0.9295413327053317,2006.0,0.0,7.0,21.0,2.0,0,15.1400966183575,42,2,64,18938,3.0,42590,0,11057,7679,202,0,17000.0
Wan Po North,High Risk,0.7469826534035076,41.9,7.12,56,9.837499999999991,0.42008653962291287,2008.0,8.0,1.0,28.0,5.0,1,15.817880794701988,55,0,54,18682,2.9,55170,0,0,18682,0,0,16500.0
Sheung Tak,Medium Risk,0.4415345470969846,24.7,7.12,16,10.100000000000009,0.45460103504008237,1987.5,0.0,1.0,35.0,5.0,0,20.57446808510639,37,7,64,17063,3.1,27140,16916,0,0,147,0,2830.0
Kwan Po,Medium Risk,0.6646117240151216,37.2,7.12,26,9.484615384615392,0.1550692765885138,2003.0,0.0,0.0,17.0,0.0,0,10.094637223974763,27,4,41,13467,2.8,50020,0,0,13467,0,0,15300.0
Kwong Ming,Medium Risk,0.588114971932963,33.0,7.12,49,9.442857142857129,0.5260094009337272,1998.0,0.0,0.0,1.0,12.0,0,28.858552631578945,66,5,75,16585,2.9,33370,0,15090,1072,423,0,9500.0
Tak Ming,Medium Risk,0.5767867571543297,32.3,7.12,14,8.842857142857145,2.1631153947430435,1998.0,0.0,0.0,3.0,0.0,0,69.7872340425532,48,13,106,17997,2.9,32740,4246,10609,3088,54,0,2400.0
Nam On,Medium Risk,0.5950968729072273,33.4,7.12,41,10.614634146341473,0.7121393448963758,1997.0,0.0,0.0,22.0,2.0,0,26.567567567567597,52,4,137,17097,2.9,40910,0,4715,12376,6,0,16000.0
Hau Tak,Medium Risk,0.413093108814777,23.2,7.12,30,5.786666666666669,0.25932231422047614,1991.0,0.0,0.0,0.0,1.0,0,18.46031746031746,36,4,89,17611,3.0,25210,12516,4545,411,139,0,2550.0
Chung Wan,Medium Risk,0.3607513401779493,20.2,7.0,1113,12.348921832884052,2.4258184109961105,1980.0,0.0,762.0,315.0,27.0,1,20.391724879097254,98,0,117,11077,2.3,45160,0,0,10184,868,25,14850.0
Sheung Wan,Medium Risk,0.32306752659383164,18.1,6.21,367,12.926702997275179,5.285721674455859,1981.0,0.0,229.0,179.0,5.0,1,19.382978723404253,62,0,64,14830,2.3,41040,0,0,14306,511,13,14000.0
Sai Ying Pun,Low Risk,0.24595623486407997,13.8,6.47,227,11.741409691629961,5.561179430584182,1976.0,4.0,51.0,160.0,2.0,1,12.171428571428574,25,0,24,13600,2.3,31650,0,0,13517,80,3,11000.0
Shek Tong Tsui,Medium Risk,0.3416885222879869,19.2,6.47,91,12.0,2.6226884018575944,1982.0,4.0,10.0,85.0,0.0,1,14.429718875502017,44,0,51,16125,2.5,28570,0,0,16116,0,9,9500.0
